official_id,password,official_name,contact_no,email,post
9001,official@121,"rari om",882487137,official121@gov.in,insepector
9002,official@122,tejas,882487138,official122@gov.in,insepector
9003,official@123,"Ram Prasad",882487139,official123@gov.in,commissionar
9004,official@124,mohan,882487140,official124@gov.in,constable
9005,official@125,"ram charan",882487141,official125@gov.in,constable
9006,official@126,"Junior Ntr",882487142,official126@gov.in,constable
9007,official@127,vijay,882487143,official127@gov.in,insepector
9008,official@128,"pooja hedge",882487144,official128@gov.in,constable
9009,official@129,hardik,882487145,official129@gov.in,constable
9010,official@120,anurag,882487146,official130@gov.in,constable
